,Epoch,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,PC_BR,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback,Individual
2019-03-26 11:48:49,2,88.66666666666669,-5.941042004000387,87.0,91.0,56.66666666666666,17.890165312412428,56.0,57.0,21.12027158098945,5.121503333333336,139.10034375990165,4.8693399999999984,5.32282,0.0,6
2019-03-26 11:48:50,2,90.33333333333331,-4.173016477759804,87.0,93.0,56.33333333333334,17.19669375175119,56.0,57.0,21.774975751697507,5.247086666666669,144.96327427389411,5.17235,5.32282,0.0,6
2019-03-26 11:48:51,2,92.66666666666669,-1.6977807410229626,91.0,94.0,56.0,16.503222191089936,56.0,56.0,22.757032007759598,5.247553333333335,144.98506087699855,5.17375,5.32282,0.0,6
2019-03-26 11:48:52,2,94.33333333333331,0.07024478521762166,93.0,96.0,56.0,16.503222191089936,56.0,56.0,23.411736178467674,5.137263333333336,139.83610847045657,4.99195,5.2460900000000015,0.0,6
2019-03-26 11:48:53,2,95.33333333333331,1.131060100961978,94.0,96.0,56.0,16.503222191089936,56.0,56.0,23.084384093113623,5.013113333333335,134.0400939517133,4.87364,5.17375,0.0,6
2019-03-26 11:48:54,2,95.0,0.7774549957138643,93.0,96.0,56.0,16.503222191089936,56.0,56.0,23.739088263821692,4.999566666666668,133.40765998731078,4.87364,5.13311,0.0,6
2019-03-26 11:48:55,2,93.0,-1.3441756357748489,90.0,96.0,56.0,16.503222191089936,56.0,56.0,24.72114451988378,5.121133333333336,139.0830700960117,4.87364,5.35665,0.0,6
2019-03-26 11:48:56,2,90.33333333333331,-4.173016477759804,88.0,93.0,56.0,16.503222191089936,56.0,56.0,27.33996120271597,5.273226666666669,146.18363528492873,5.13311,5.35665,0.0,6
2019-03-26 11:48:57,2,88.33333333333331,-6.294647109248518,87.0,90.0,55.66666666666666,15.80975063042868,55.0,56.0,28.97672162948609,5.350033333333336,149.76939891872874,5.32992,5.36353,0.0,6
2019-03-26 11:48:58,2,87.33333333333331,-7.355462424992872,87.0,88.0,55.33333333333334,15.116279069767439,55.0,56.0,32.250242483026355,5.402843333333334,152.2348642971808,5.32992,5.515079999999998,0.0,6
2019-03-26 11:48:59,2,85.66666666666667,-9.12348795123346,83.0,87.0,55.0,14.422807509106187,55.0,55.0,33.887002909796465,5.490500000000003,156.32716645315853,5.36353,5.592890000000001,0.0,6
2019-03-26 11:49:00,2,84.0,-10.891513477474058,82.0,87.0,55.0,14.422807509106187,55.0,55.0,37.81522793404479,5.585926666666668,160.78221555082484,5.515079999999998,5.6498099999999996,0.0,6
2019-03-26 11:49:01,2,84.0,-10.891513477474058,82.0,87.0,54.66666666666666,13.729335948444932,54.0,55.0,40.106692531522974,5.60835666666667,161.8293730671794,5.58237,5.6498099999999996,0.0,6
2019-03-26 11:49:02,2,87.0,-7.709067530240987,82.0,92.0,54.33333333333334,13.035864387783695,54.0,55.0,43.38021338506322,5.620740000000003,162.40749614241454,5.58237,5.6498099999999996,0.0,6
2019-03-26 11:49:03,2,91.0,-3.4658062672635617,87.0,94.0,54.0,12.342392827122438,54.0,54.0,44.36226964112529,5.570290000000003,160.05220872823327,5.49846,5.630039999999998,0.0,6
2019-03-26 11:49:04,2,92.33333333333331,-2.0513858462710908,91.0,94.0,54.0,12.342392827122438,54.0,54.0,47.635790494665564,5.538490000000002,158.56760734526074,5.48697,5.630039999999998,0.0,6
2019-03-26 11:49:05,2,91.33333333333331,-3.1122011620154484,89.0,94.0,53.66666666666666,11.648921266461187,53.0,54.0,49.927255092143746,5.440220000000001,153.9798155872511,5.33523,5.49846,0.0,6
2019-03-26 11:49:06,2,89.0,-5.587436898752276,87.0,91.0,53.33333333333334,10.955449705799944,53.0,54.0,52.87342386032997,5.337926666666668,149.2041921867627,5.19158,5.48697,0.0,6
2019-03-26 11:49:07,2,86.66666666666669,-8.062672635489102,84.0,89.0,53.0,10.26197814513869,53.0,53.0,53.52812803103804,5.293253333333335,147.11859179529546,5.19158,5.352949999999999,0.0,6
2019-03-26 11:49:08,2,85.33333333333333,-9.477093056481586,84.0,87.0,53.0,10.26197814513869,53.0,53.0,54.83753637245413,5.359790000000001,150.22489454220462,5.19158,5.53484,0.0,6
2019-03-26 11:49:09,2,83.66666666666667,-11.24511858272217,82.0,85.0,53.33333333333334,10.955449705799944,53.0,54.0,55.492240543162154,5.418206666666667,152.95211039509692,5.352949999999999,5.53484,0.0,6
2019-03-26 11:49:10,2,82.33333333333333,-12.659539003714654,80.0,85.0,53.66666666666666,11.648921266461187,53.0,54.0,55.81959262851617,5.394736666666668,151.85639987753828,5.282539999999999,5.53484,0.0,6
2019-03-26 11:49:11,2,80.33333333333333,-14.78116963520337,79.0,82.0,54.0,12.342392827122438,54.0,54.0,55.49224054316213,5.305763333333334,147.7026283770874,5.267920000000001,5.366829999999998,0.0,6
2019-03-26 11:49:12,2,80.0,-15.134774740451482,79.0,81.0,54.0,12.342392827122438,54.0,54.0,56.14694471387021,5.248373333333333,145.02334305102474,5.194660000000002,5.282539999999999,0.0,6
2019-03-26 11:49:13,2,81.0,-14.073959424707127,79.0,83.0,54.0,12.342392827122438,54.0,54.0,57.12900096993229,5.197063333333333,142.627906039694,5.12861,5.267920000000001,0.0,6
2019-03-26 11:49:14,2,83.66666666666667,-11.24511858272217,81.0,87.0,54.0,12.342392827122438,54.0,54.0,57.783705140640365,5.188693333333334,142.23714775115695,5.12861,5.2428099999999995,0.0,6
2019-03-26 11:49:15,2,87.0,-7.709067530240987,83.0,91.0,54.0,12.342392827122438,54.0,54.0,57.45635305528632,5.217526666666667,143.5832485858227,5.12861,5.28116,0.0,6
2019-03-26 11:49:16,2,91.33333333333331,-3.1122011620154484,87.0,96.0,54.0,12.342392827122438,54.0,54.0,55.819592628516205,5.338330000000002,149.22302203658862,5.2428099999999995,5.491020000000002,0.0,6
2019-03-26 11:49:17,2,93.33333333333331,-0.9905705305267348,91.0,96.0,54.0,12.342392827122438,54.0,54.0,54.5101842871001,5.3894633333333335,151.6102112624584,5.28116,5.491020000000002,0.0,6
2019-03-26 11:49:18,2,92.66666666666669,-1.6977807410229626,89.0,96.0,54.0,12.342392827122438,54.0,54.0,50.909311348205826,5.353010000000001,149.90836632281614,5.1718,5.491020000000002,0.0,6
2019-03-26 11:49:19,2,90.33333333333331,-4.173016477759804,89.0,93.0,54.0,12.342392827122438,54.0,54.0,48.617846750727644,5.196883333333334,142.61950263563946,5.022640000000001,5.39621,0.0,6
2019-03-26 11:49:20,2,89.66666666666669,-4.880226688256032,89.0,91.0,54.0,12.342392827122438,54.0,54.0,43.38021338506322,5.046733333333335,135.609663086793,4.94576,5.1718,0.0,6
2019-03-26 11:49:21,2,89.66666666666669,-4.880226688256032,89.0,91.0,53.66666666666666,11.648921266461187,53.0,54.0,40.434044616876996,4.953603333333335,131.26183520011915,4.89241,5.022640000000001,0.0,6
2019-03-26 11:49:22,2,89.33333333333331,-5.2338317935041605,88.0,91.0,53.33333333333334,10.955449705799944,53.0,54.0,35.851115421920646,4.900163333333333,128.76695790747607,4.862319999999999,4.94576,0.0,6
2019-03-26 11:49:23,2,87.66666666666669,-7.001857319744746,86.0,89.0,53.0,10.26197814513869,53.0,53.0,34.21435499515053,4.884066666666668,128.0154757189673,4.862319999999999,4.897469999999999,0.0,6
2019-03-26 11:49:24,2,86.66666666666669,-8.062672635489102,86.0,88.0,53.0,10.26197814513869,53.0,53.0,30.28612997090222,4.905883333333335,129.03399941409882,4.862319999999999,4.957859999999998,0.0,6
2019-03-26 11:49:25,2,86.0,-8.769882845985343,86.0,86.0,53.0,10.26197814513869,53.0,53.0,27.994665373424038,4.976463333333336,132.3290675150485,4.897469999999999,5.07406,0.0,6
2019-03-26 11:49:26,2,85.66666666666667,-9.12348795123346,85.0,86.0,53.33333333333334,10.955449705799944,53.0,54.0,23.411736178467677,5.001543333333335,133.49994181331732,4.957859999999998,5.07406,0.0,6
2019-03-26 11:49:27,2,85.66666666666667,-9.12348795123346,85.0,86.0,53.66666666666666,11.648921266461187,53.0,54.0,21.120271580989517,4.9722566666666665,132.13267684992144,4.87,5.07406,0.0,6
2019-03-26 11:49:28,2,85.0,-9.8306981617297,84.0,86.0,54.0,12.342392827122438,54.0,54.0,17.846750727449272,4.914290000000001,129.42646950716554,4.87,4.972709999999998,0.0,6
2019-03-26 11:49:29,2,84.66666666666667,-10.184303266977814,84.0,86.0,53.66666666666666,11.648921266461187,53.0,54.0,16.864694471387185,4.914816666666668,129.4510572449548,4.87,4.97429,0.0,6
2019-03-26 11:49:30,2,84.0,-10.891513477474058,84.0,84.0,53.33333333333334,10.955449705799944,53.0,54.0,14.90058195926302,4.964600000000001,131.7752209404154,4.90016,5.019350000000001,0.0,6
2019-03-26 11:49:31,2,83.0,-11.952328793218413,81.0,84.0,53.0,10.26197814513869,53.0,53.0,13.918525703200949,5.018586666666668,134.29561968240938,4.97429,5.062119999999999,0.0,6
2019-03-26 11:49:32,2,81.66666666666667,-13.366749214210882,80.0,84.0,53.0,10.26197814513869,53.0,53.0,11.299709020368756,5.020580000000002,134.38867960138398,4.980269999999999,5.062119999999999,0.0,6
2019-03-26 11:49:33,2,81.33333333333333,-13.72035431945901,80.0,83.0,53.0,10.26197814513869,53.0,53.0,9.662948593598637,5.050603333333334,135.79033627396603,4.980269999999999,5.10942,0.0,6
2019-03-26 11:49:34,2,83.66666666666667,-11.24511858272217,80.0,88.0,53.0,10.26197814513869,53.0,53.0,6.3894277400583785,5.0473099999999995,135.63658510348623,4.980269999999999,5.10942,0.0,6
2019-03-26 11:49:35,2,87.66666666666669,-7.001857319744746,83.0,92.0,53.0,10.26197814513869,53.0,53.0,4.752667313288257,5.016783333333335,134.21143002327014,4.888690000000001,5.10942,0.0,6
2019-03-26 11:49:36,2,91.33333333333331,-3.1122011620154484,88.0,94.0,53.0,10.26197814513869,53.0,53.0,1.4791464597480004,4.907963333333335,129.1311054165071,4.78296,5.05224,0.0,6
2019-03-26 11:49:37,2,92.66666666666669,-1.6977807410229626,92.0,94.0,53.0,10.26197814513869,53.0,53.0,-0.15761396702211988,4.7993966666666665,124.0626078228578,4.72654,4.888690000000001,0.0,6
2019-03-26 11:49:38,2,91.33333333333331,-3.1122011620154484,88.0,94.0,53.0,10.26197814513869,53.0,53.0,-2.121726479146282,4.730960000000001,120.86760247759494,4.683380000000001,4.78296,0.0,6
2019-03-26 11:49:39,2,89.0,-5.587436898752276,87.0,92.0,53.0,10.26197814513869,53.0,53.0,-2.4490785645003057,4.6993766666666685,119.39311630320671,4.683380000000001,4.72654,0.0,6
2019-03-26 11:49:40,2,87.33333333333331,-7.355462424992872,87.0,88.0,53.0,10.26197814513869,53.0,53.0,-2.77643064985433,4.732810000000003,120.95397079704466,4.683380000000001,4.826839999999999,0.0,6
2019-03-26 11:49:41,2,85.66666666666667,-9.12348795123346,83.0,87.0,53.0,10.26197814513869,53.0,53.0,-2.77643064985433,4.82610666666667,125.30957961339865,4.68821,4.96327,0.0,6
2019-03-26 11:49:42,2,83.33333333333333,-11.598723687970299,80.0,87.0,53.0,10.26197814513869,53.0,53.0,-3.1037827352083363,4.929983333333337,130.15912184584852,4.826839999999999,4.999840000000002,0.0,6
2019-03-26 11:49:43,2,82.0,-13.01314410896277,80.0,83.0,53.0,10.26197814513869,53.0,53.0,-3.4311348205623435,5.0001633333333375,133.4355157155658,4.96327,5.0373800000000015,0.0,6
2019-03-26 11:49:44,2,82.33333333333333,-12.659539003714654,80.0,84.0,53.0,10.26197814513869,53.0,53.0,-4.085838991270409,4.984976666666671,132.72651740311062,4.91771,5.0373800000000015,0.0,6
2019-03-26 11:49:46,3,83.0,-11.952328793218413,82.0,84.0,52.66666666666666,9.568506584477435,52.0,53.0,-4.0858389912704265,4.858833333333338,126.83744296539284,4.7639,4.91771,0.0,6
2019-03-26 11:49:47,3,83.33333333333333,-11.598723687970299,82.0,85.0,52.66666666666666,9.568506584477435,52.0,53.0,-3.4311348205623613,4.818040000000006,124.93298261687956,4.7639,4.89489,0.0,6
2019-03-26 11:49:48,3,84.33333333333333,-10.537908372225944,82.0,86.0,52.66666666666666,9.568506584477435,52.0,53.0,-2.121726479146264,4.758856666666673,122.16997448745855,4.71734,4.79533,0.0,6
2019-03-26 11:49:49,3,86.66666666666669,-8.062672635489102,85.0,89.0,52.33333333333334,8.875035023816196,52.0,53.0,-1.467022308438216,4.730986666666673,120.86884742634396,4.68029,4.79533,0.0,6
2019-03-26 11:49:50,3,87.66666666666669,-7.001857319744746,86.0,89.0,52.0,8.18156346315494,52.0,52.0,0.8244422890399697,4.6812300000000056,118.54592867963221,4.646059999999999,4.71734,0.0,6
2019-03-26 11:49:51,3,87.66666666666669,-7.001857319744746,86.0,89.0,52.0,8.18156346315494,52.0,52.0,2.4612027158100904,4.6420766666666715,116.71803267917153,4.5998800000000015,4.68029,0.0,6
2019-03-26 11:49:52,3,86.0,-8.769882845985343,84.0,88.0,52.0,8.18156346315494,52.0,52.0,5.407371483996324,4.601760000000006,114.8358257895434,4.5593400000000015,4.646059999999999,0.0,6
2019-03-26 11:49:53,3,85.33333333333333,-9.477093056481586,84.0,86.0,52.0,8.18156346315494,52.0,52.0,6.716779825412421,4.572180000000006,113.45486638991049,4.55732,4.5998800000000015,0.0,6
2019-03-26 11:49:54,3,86.66666666666669,-8.062672635489102,84.0,90.0,52.0,8.18156346315494,52.0,52.0,9.335596508244613,4.6294766666666725,116.12979439535226,4.55732,4.77177,0.0,6
2019-03-26 11:49:55,3,90.33333333333331,-4.173016477759804,86.0,95.0,52.0,8.18156346315494,52.0,52.0,10.645004849660712,4.794743333333339,123.84536426618826,4.55732,5.05514,0.0,6
2019-03-26 11:49:56,3,94.66666666666669,0.42384989046575056,90.0,99.0,52.0,8.18156346315494,52.0,52.0,14.245877788554992,4.987200000000006,132.83031500504387,4.77177,5.134690000000001,0.0,6
2019-03-26 11:49:57,3,96.66666666666669,2.5454805219544627,95.0,99.0,52.0,8.18156346315494,52.0,52.0,16.537342386033178,5.121810000000006,139.11466067051327,5.05514,5.1756,0.0,6
2019-03-26 11:49:58,3,96.0,1.8382703114582208,93.0,99.0,52.0,8.18156346315494,52.0,52.0,19.810863239573422,5.10805333333334,138.47242273471377,5.01387,5.1756,0.0,6
2019-03-26 11:49:59,3,93.66666666666669,-0.6369654252786059,92.0,96.0,52.0,8.18156346315494,52.0,52.0,20.792919495635488,5.016326666666673,134.19011027594678,4.85951,5.1756,0.0,6
2019-03-26 11:50:00,3,93.33333333333331,-0.9905705305267348,92.0,95.0,52.0,8.18156346315494,52.0,52.0,22.42967992240561,4.882810000000006,127.95680750917921,4.77505,5.01387,0.0,6
2019-03-26 11:50:01,3,95.33333333333331,1.131060100961978,92.0,99.0,52.33333333333334,8.875035023816196,52.0,53.0,23.084384093113677,4.785913333333341,123.43313061173409,4.723180000000001,4.85951,0.0,6
2019-03-26 11:50:02,3,97.66666666666669,3.6062958376988195,95.0,99.0,52.66666666666666,9.568506584477435,52.0,53.0,23.739088263821746,4.803790000000006,124.26771312922683,4.723180000000001,4.9131399999999985,0.0,6
2019-03-26 11:50:03,3,98.33333333333331,4.3135060481950465,97.0,99.0,53.0,10.26197814513869,53.0,53.0,23.739088263821746,4.933260000000007,130.3120949233604,4.723180000000001,5.163459999999999,0.0,6
2019-03-26 11:50:04,3,97.0,2.8990856272025773,95.0,99.0,53.0,10.26197814513869,53.0,53.0,24.39379243452979,5.107336666666673,138.43896473708912,4.9131399999999985,5.2454100000000015,0.0,6
2019-03-26 11:50:05,3,96.0,1.8382703114582208,95.0,97.0,53.0,10.26197814513869,53.0,53.0,25.048496605237855,5.2375600000000055,144.51851633337697,5.163459999999999,5.3038099999999995,0.0,6
2019-03-26 11:50:06,3,93.0,-1.3441756357748489,88.0,96.0,53.0,10.26197814513869,53.0,53.0,26.68525703200797,5.239220000000008,144.59601439299132,5.16844,5.3038099999999995,0.0,6
2019-03-26 11:50:07,3,89.0,-5.587436898752276,83.0,96.0,53.0,10.26197814513869,53.0,53.0,27.66731328807007,5.213420000000006,143.39152647850418,5.16801,5.3038099999999995,0.0,6
2019-03-26 11:50:08,3,84.33333333333333,-10.537908372225944,82.0,88.0,53.0,10.26197814513869,53.0,53.0,29.304073714840197,5.257633333333341,145.45565150405417,5.16801,5.436450000000002,0.0,6
2019-03-26 11:50:09,3,83.33333333333333,-11.598723687970299,82.0,85.0,53.0,10.26197814513869,53.0,53.0,29.958777885548233,5.322993333333341,148.50702088742156,5.16801,5.436450000000002,0.0,6
2019-03-26 11:50:10,3,85.0,-9.8306981617297,82.0,88.0,53.0,10.26197814513869,53.0,53.0,31.268186226964325,5.3357600000000085,149.10304010092105,5.206310000000001,5.436450000000002,0.0,6
2019-03-26 11:50:11,3,89.0,-5.587436898752276,85.0,94.0,53.0,10.26197814513869,53.0,53.0,31.922890397672397,5.2794333333333405,146.47339710621776,5.206310000000001,5.3645200000000015,0.0,6
2019-03-26 11:50:12,3,92.33333333333331,-2.0513858462710908,88.0,95.0,53.0,10.26197814513869,53.0,53.0,33.23229873908851,5.220716666666674,143.7321755799011,5.18837,5.267470000000001,0.0,6
2019-03-26 11:50:13,3,94.0,-0.2833603200304921,93.0,95.0,53.0,10.26197814513869,53.0,53.0,33.88700290979658,5.167830000000007,141.2631309737961,5.04765,5.267470000000001,0.0,6
2019-03-26 11:50:14,3,92.66666666666669,-1.6977807410229626,90.0,95.0,53.0,10.26197814513869,53.0,53.0,35.19641125121267,5.06199333333334,136.3220850083077,4.94996,5.18837,0.0,6
2019-03-26 11:50:15,3,90.0,-4.526621583007918,87.0,93.0,53.0,10.26197814513869,53.0,53.0,35.8511154219207,4.961350000000007,131.62349281165277,4.886439999999999,5.04765,0.0,6
2019-03-26 11:50:16,3,87.0,-7.709067530240987,84.0,90.0,53.33333333333334,10.955449705799944,53.0,54.0,31.922890397672397,4.893390000000006,128.45074092527506,4.84377,4.94996,0.0,6
2019-03-26 11:50:17,3,85.0,-9.8306981617297,84.0,87.0,53.66666666666666,11.648921266461187,53.0,54.0,27.33996120271604,4.846366666666672,126.25542942531769,4.80889,4.886439999999999,0.0,6
2019-03-26 11:50:18,3,83.33333333333333,-11.598723687970299,82.0,84.0,54.0,12.342392827122438,54.0,54.0,18.8288069835114,4.8097500000000055,124.54595917458892,4.776590000000001,4.84377,0.0,6
2019-03-26 11:50:19,3,83.33333333333333,-11.598723687970299,82.0,84.0,54.0,12.342392827122438,54.0,54.0,14.900581959263107,4.816316666666673,124.8525278039868,4.776590000000001,4.86347,0.0,6
2019-03-26 11:50:20,3,83.66666666666667,-11.24511858272217,82.0,85.0,54.0,12.342392827122438,54.0,54.0,7.044131910766513,4.862156666666673,126.99259470321506,4.776590000000001,4.946409999999998,0.0,6
2019-03-26 11:50:21,3,84.33333333333333,-10.537908372225944,84.0,85.0,54.0,12.342392827122438,54.0,54.0,3.1159068865182076,4.892943333333339,128.42988803373225,4.86347,4.946409999999998,0.0,6
2019-03-26 11:50:22,3,84.66666666666667,-10.184303266977814,84.0,85.0,53.66666666666666,11.648921266461187,53.0,54.0,-3.1037827352082665,4.866190000000007,127.18089320147472,4.78321,4.946409999999998,0.0,6
2019-03-26 11:50:23,3,85.0,-9.8306981617297,84.0,86.0,53.33333333333334,10.955449705799944,53.0,54.0,-5.395247332686435,4.795410000000007,123.8764879849089,4.734070000000001,4.86895,0.0,6
2019-03-26 11:50:24,3,86.66666666666669,-8.062672635489102,85.0,89.0,52.66666666666666,9.568506584477435,52.0,53.0,-9.650824442288748,4.740106666666674,121.2946198984418,4.7030400000000006,4.78321,0.0,6
2019-03-26 11:50:25,3,89.66666666666669,-4.880226688256032,86.0,94.0,52.66666666666666,9.568506584477435,52.0,53.0,-11.614936954412892,4.7327233333333405,120.94992471361117,4.7030400000000006,4.7610600000000005,0.0,6
2019-03-26 11:50:26,3,94.0,-0.2833603200304921,89.0,99.0,52.0,8.18156346315494,51.0,53.0,-15.543161978661198,4.747556666666672,121.64242745514444,4.7030400000000006,4.778569999999999,0.0,6
2019-03-26 11:50:27,3,97.0,2.8990856272025773,94.0,99.0,51.66666666666666,7.488091902493687,51.0,53.0,-17.50727449078536,4.747920000000007,121.65938988184719,4.70413,4.778569999999999,0.0,6
2019-03-26 11:50:28,3,97.66666666666669,3.6062958376988195,96.0,99.0,51.0,6.101148781171192,51.0,51.0,-20.126091173617553,4.713596666666675,120.05698522351729,4.658090000000001,4.778569999999999,0.0,6
2019-03-26 11:50:29,3,96.0,1.8382703114582208,94.0,98.0,51.0,6.101148781171192,51.0,51.0,-20.7807953443256,4.673373333333339,118.17913565451,4.6579,4.70413,0.0,6
2019-03-26 11:50:30,3,93.33333333333331,-0.9905705305267348,90.0,96.0,51.0,6.101148781171192,51.0,51.0,-22.090203685741688,4.675443333333341,118.27577480113749,4.6579,4.71034,0.0,6
2019-03-26 11:50:31,3,91.0,-3.4658062672635617,89.0,94.0,51.0,6.101148781171192,51.0,51.0,-22.744907856449732,4.748813333333341,121.70109566493281,4.6579,4.8782,0.0,6
2019-03-26 11:50:32,3,90.33333333333331,-4.173016477759804,89.0,92.0,51.0,6.101148781171192,51.0,51.0,-24.054316197865834,4.8325766666666725,125.6116353035822,4.71034,4.90919,0.0,6
2019-03-26 11:50:33,3,91.0,-3.4658062672635617,89.0,92.0,51.0,6.101148781171192,51.0,51.0,-24.70902036857388,4.862656666666674,127.01593749225559,4.80058,4.90919,0.0,6
2019-03-26 11:50:34,3,90.66666666666669,-3.8194113725116754,88.0,92.0,51.0,6.101148781171192,51.0,51.0,-24.70902036857388,4.800680000000007,124.12252098139523,4.69227,4.90919,0.0,6
2019-03-26 11:50:35,3,88.33333333333331,-6.294647109248518,85.0,92.0,51.0,6.101148781171192,51.0,51.0,-24.054316197865834,4.710933333333339,119.93264596722844,4.639950000000002,4.80058,0.0,6
2019-03-26 11:50:36,3,87.0,-7.709067530240987,85.0,88.0,51.0,6.101148781171192,51.0,51.0,-23.07225994180377,4.6494166666666725,117.0607048222853,4.61603,4.69227,0.0,6
2019-03-26 11:50:37,3,88.66666666666669,-5.941042004000387,85.0,93.0,51.0,6.101148781171192,51.0,51.0,-22.744907856449753,4.606486666666672,115.05649295527249,4.56348,4.639950000000002,0.0,6
2019-03-26 11:50:38,3,91.66666666666669,-2.7585960567673187,88.0,94.0,51.0,6.101148781171192,51.0,51.0,-22.090203685741702,4.566550000000006,113.19202658531506,4.5201400000000005,4.61603,0.0,6
2019-03-26 11:50:39,3,93.0,-1.3441756357748489,92.0,94.0,51.0,6.101148781171192,51.0,51.0,-21.762851600387677,4.558400000000007,112.8115391239558,4.5201400000000005,4.59158,0.0,6
2019-03-26 11:50:40,3,91.33333333333331,-3.1122011620154484,88.0,94.0,51.0,6.101148781171192,51.0,51.0,-20.126091173617553,4.618950000000007,115.63835087675406,4.5201400000000005,4.7451300000000005,0.0,6
2019-03-26 11:50:41,3,89.0,-5.587436898752276,87.0,92.0,51.0,6.101148781171192,51.0,51.0,-18.81668283220145,4.7172433333333395,120.22723196491889,4.59158,4.81502,0.0,6
2019-03-26 11:50:42,3,88.33333333333331,-6.294647109248518,87.0,90.0,51.0,6.101148781171192,51.0,51.0,-16.525218234723287,4.809666666666673,124.54206870974886,4.7451300000000005,4.868849999999999,0.0,6
2019-03-26 11:50:43,3,87.66666666666669,-7.001857319744746,86.0,90.0,51.0,6.101148781171192,51.0,51.0,-15.543161978661198,4.806433333333341,124.391118673954,4.73543,4.868849999999999,0.0,6
