,Epoch,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,PC_BR,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback,Individual
2019-03-15 12:22:42,2,91.33333333333331,8.106433977000345,90.0,92.0,49.0,-13.719951923076925,49.0,49.0,10.873011958199001,8.332789999999987,21.674758344195233,7.8166699999999985,9.09115,2.0,3
2019-03-15 12:22:43,2,91.0,7.711884947887211,89.0,92.0,49.0,-13.719951923076925,49.0,49.0,12.1118165610839,8.867019999999988,29.475543693426356,8.090549999999999,9.41936,2.0,3
2019-03-15 12:22:44,2,89.0,5.34459077320837,86.0,92.0,49.0,-13.719951923076925,49.0,49.0,13.350621163968778,9.349149999999987,36.51556885192512,9.09115,9.53694,2.0,3
2019-03-15 12:22:46,2,88.0,4.1609436858689515,86.0,89.0,48.66666666666666,-14.306891025641027,48.0,49.0,14.589425766853699,9.570299999999989,39.744784133699774,9.41936,9.7546,2.0,3
2019-03-15 12:22:47,2,89.66666666666669,6.1336888314346565,86.0,94.0,48.66666666666666,-14.306891025641027,48.0,49.0,16.241165237366896,9.63860333333332,40.74214415086522,9.53694,9.7546,2.0,3
2019-03-15 12:22:49,2,94.0,11.262826209905471,89.0,99.0,48.66666666666666,-14.306891025641027,48.0,49.0,18.3058395755084,9.74021333333332,42.22584555163901,9.62427,9.84177,2.0,3
2019-03-15 12:22:50,2,98.0,15.99741455926315,94.0,101.0,49.33333333333334,-13.133012820512814,49.0,50.0,19.751111612207435,9.75590333333332,42.45494972424149,9.62427,9.84177,2.0,3
2019-03-15 12:22:51,2,100.66666666666669,19.153806792168275,99.0,102.0,49.66666666666666,-12.546073717948726,49.0,50.0,19.751111612207435,9.888283333333321,44.38795229716182,9.801669999999998,10.021410000000001,2.0,3
2019-03-15 12:22:52,2,100.66666666666669,19.153806792168275,99.0,102.0,50.0,-11.959134615384615,50.0,50.0,19.33817674457916,10.041359999999989,46.623166004071685,9.801669999999998,10.300999999999998,2.0,3
2019-03-15 12:22:53,2,99.66666666666669,17.970159704828855,98.0,102.0,50.0,-11.959134615384615,50.0,50.0,19.33817674457916,10.265336666666654,49.89365605499162,10.021410000000001,10.4736,2.0,3
2019-03-15 12:22:54,2,98.33333333333331,16.391963588376285,98.0,99.0,50.0,-11.959134615384615,50.0,50.0,19.751111612207435,10.441633333333321,52.46792641504555,10.300999999999998,10.550299999999998,2.0,3
2019-03-15 12:22:55,2,98.33333333333331,16.391963588376285,98.0,99.0,50.0,-11.959134615384615,50.0,50.0,20.576981347464052,10.54703333333332,54.00696910416628,10.4736,10.6172,2.0,3
2019-03-15 12:22:56,2,100.0,18.36470873394199,98.0,103.0,50.33333333333334,-11.37219551282051,50.0,51.0,20.98991621509238,10.583433333333321,54.53847910306561,10.550299999999998,10.6172,2.0,3
2019-03-15 12:22:57,2,102.66666666666669,21.521100966847115,99.0,106.0,51.0,-10.198317307692307,50.0,52.0,22.22872081797728,10.611399999999987,54.94684621760464,10.5828,10.634199999999996,2.0,3
2019-03-15 12:22:58,2,106.0,25.46659125797851,103.0,109.0,51.66666666666666,-9.024439102564106,51.0,52.0,23.05459055323385,10.597633333333318,54.74582641032856,10.5759,10.634199999999996,2.0,3
2019-03-15 12:22:59,2,108.66666666666669,28.622983490883637,106.0,111.0,52.0,-8.4375,52.0,52.0,24.706330023747054,10.584333333333321,54.55162083380765,10.5429,10.634199999999996,2.0,3
2019-03-15 12:23:01,2,110.0,30.201179607336183,109.0,111.0,52.33333333333334,-7.8505608974358925,52.0,53.0,25.738667192817797,10.503233333333322,53.367404874721444,10.390899999999998,10.5759,2.0,3
2019-03-15 12:23:02,2,108.33333333333331,28.228434461770487,104.0,111.0,52.66666666666666,-7.263621794871797,52.0,53.0,26.77100436188855,10.398333333333325,51.83566314712409,10.261200000000002,10.5429,2.0,3
2019-03-15 12:23:03,2,104.33333333333331,23.493846112412804,99.0,110.0,53.0,-6.676682692307692,53.0,53.0,26.358069494260253,10.246733333333324,49.62201161324647,10.0881,10.390899999999998,2.0,3
2019-03-15 12:23:05,2,99.33333333333331,17.575610675715705,95.0,104.0,52.66666666666666,-7.263621794871797,52.0,53.0,25.32573232518952,10.138786666666658,48.04578269343352,10.067060000000001,10.261200000000002,2.0,3
2019-03-15 12:23:06,2,96.0,13.630120384584307,94.0,99.0,52.0,-8.4375,51.0,53.0,24.29339515611876,10.00715333333332,46.123682889721394,9.8663,10.0881,2.0,3
2019-03-15 12:23:07,2,94.33333333333331,11.657375239018604,94.0,95.0,51.33333333333334,-9.611378205128199,51.0,52.0,23.46752542086215,9.894116666666651,44.4731301816008,9.74899,10.067060000000001,2.0,3
2019-03-15 12:23:08,2,94.0,11.262826209905471,94.0,94.0,51.0,-10.198317307692307,51.0,51.0,23.054590553233837,9.788819999999989,42.935596357861584,9.74899,9.8663,2.0,3
2019-03-15 12:23:09,2,94.0,11.262826209905471,94.0,94.0,51.0,-10.198317307692307,51.0,51.0,22.84812311941967,9.824733333333322,43.46000008754493,9.74899,9.974039999999999,2.0,3
2019-03-15 12:23:10,2,95.0,12.446473297244893,94.0,97.0,51.0,-10.198317307692307,51.0,51.0,23.054590553233837,9.882906666666656,44.30944262424747,9.75117,9.974039999999999,2.0,3
