,Epoch,HR,PC_HR,HR_MIN,HR_MAX,HRV,PC_HRV,HRV_MIN,HRV_MAX,PC_BR,GSR,PC_GSR,GSR_MIN,GSR_MAX,Feedback,Individual
2019-03-20 04:19:10,2,62.33333333333334,-4.975028812908161,61.0,63.0,81.33333333333333,-1.2104516236747684,81.0,82.0,-2.6535125021262025,2.86395,76.18154983634159,2.84239,2.87544,1.0,10
2019-03-20 04:19:11,2,61.33333333333334,-6.499493591310704,60.0,63.0,81.66666666666667,-0.805576425411129,81.0,82.0,-4.3034529681918725,2.85287,75.49994171741957,2.8421999999999987,2.8740200000000002,1.0,10
2019-03-20 04:19:12,2,60.33333333333334,-8.023958369713247,60.0,61.0,81.66666666666667,-0.805576425411129,81.0,82.0,-5.9533934342575225,2.8439166666666664,74.94915970555904,2.8421999999999987,2.8471599999999997,1.0,10
2019-03-20 04:19:13,2,61.33333333333334,-6.499493591310704,60.0,64.0,81.33333333333333,-1.2104516236747684,81.0,82.0,-5.9533934342575225,2.8630899999999992,76.12864523505341,2.8421999999999987,2.8999099999999998,1.0,10
2019-03-20 04:19:14,2,62.33333333333334,-4.975028812908161,60.0,64.0,81.0,-1.6153268219383907,81.0,81.0,-5.9533934342575225,2.9277833333333327,80.10838361412628,2.8471599999999997,3.03628,1.0,10
2019-03-20 04:19:15,2,62.66666666666666,-4.466873886773987,61.0,64.0,81.0,-1.6153268219383907,81.0,81.0,-5.9533934342575225,3.0126999999999997,85.33220034984768,2.8999099999999998,3.1019099999999997,1.0,10
2019-03-20 04:19:16,2,62.33333333333334,-4.975028812908161,61.0,63.0,81.0,-1.6153268219383907,81.0,81.0,-5.9533934342575225,3.0796299999999994,89.44953170358862,3.03628,3.1019099999999997,1.0,10
2019-03-20 04:19:17,2,62.33333333333334,-4.975028812908161,61.0,63.0,81.0,-1.6153268219383907,81.0,81.0,-5.9533934342575225,3.10019,90.71432077624534,3.09796,3.1019099999999997,1.0,10
2019-03-20 04:19:18,2,63.66666666666666,-2.9424091083714443,63.0,65.0,81.0,-1.6153268219383907,81.0,81.0,-5.9533934342575225,3.09769,90.5605283306402,3.09441,3.1007,1.0,10
2019-03-20 04:19:19,2,65.66666666666667,0.10652044843365227,63.0,69.0,81.0,-1.6153268219383907,81.0,81.0,-5.9533934342575225,3.0935933333333328,90.30851377644188,3.0884099999999988,3.09796,1.0,10
2019-03-20 04:19:20,2,68.33333333333333,4.1717598575070864,65.0,71.0,81.33333333333333,-1.2104516236747684,81.0,82.0,-5.9533934342575225,3.0982966666666663,90.59784863077371,3.0884099999999988,3.11207,1.0,10
2019-03-20 04:19:21,2,71.0,8.23699926658054,69.0,73.0,81.66666666666667,-0.805576425411129,81.0,82.0,-5.9533934342575225,3.1120699999999992,91.44514247776094,3.0884099999999988,3.13573,1.0,10
2019-03-20 04:19:22,2,72.66666666666667,10.777773897251453,71.0,74.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.1276399999999995,92.40296182898985,3.11207,3.13573,1.0,10
2019-03-20 04:19:23,2,73.66666666666667,12.302238675653994,73.0,74.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.1360866666666665,92.92257523854107,3.135120000000001,3.13741,1.0,10
2019-03-20 04:19:24,2,74.33333333333333,13.318548527922342,74.0,75.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.1646833333333326,94.68175575966976,3.135120000000001,3.2215200000000004,1.0,10
2019-03-20 04:19:25,2,75.33333333333333,14.843013306324885,74.0,77.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.2641299999999998,100.7994141892483,3.13741,3.4334599999999997,1.0,10
2019-03-20 04:19:26,2,75.33333333333333,14.843013306324885,74.0,77.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.4468499999999995,112.03979645363712,3.2215200000000004,3.68557,1.0,10
2019-03-20 04:19:27,2,74.0,12.810393601788167,71.0,77.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.6213333333333333,122.7734838739055,3.4334599999999997,3.74497,1.0,10
2019-03-20 04:19:28,2,72.33333333333333,10.269618971117255,71.0,74.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.732196666666667,129.59346113841423,3.68557,3.76605,1.0,10
2019-03-20 04:19:29,2,71.66666666666667,9.253309118848911,71.0,72.0,81.66666666666667,-0.805576425411129,81.0,82.0,-5.9533934342575225,3.7648099999999998,131.59973485548187,3.74497,3.78341,1.0,10
2019-03-20 04:19:30,2,72.0,9.761464044983082,72.0,72.0,81.33333333333333,-1.2104516236747684,81.0,82.0,-5.9533934342575225,3.781660000000001,132.63629593886057,3.76605,3.7955200000000007,1.0,10
2019-03-20 04:19:31,2,72.33333333333333,10.269618971117255,72.0,73.0,81.33333333333333,-1.2104516236747684,81.0,82.0,-5.9533934342575225,3.7922100000000007,133.2853000593143,3.78341,3.7977,1.0,10
2019-03-20 04:19:32,2,72.66666666666667,10.777773897251453,72.0,73.0,81.66666666666667,-0.805576425411129,81.0,82.0,-5.9533934342575225,3.793970000000001,133.39356994102033,3.78869,3.7977,1.0,10
2019-03-20 04:19:33,2,73.0,11.285928823385625,73.0,73.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.786136666666668,132.9116869447909,3.77202,3.7977,1.0,10
2019-03-20 04:19:34,2,72.33333333333333,10.269618971117255,71.0,73.0,82.0,-0.4007012271475067,82.0,82.0,-5.9533934342575225,3.774156666666668,132.174713545451,3.76176,3.78869,1.0,10
